Image,Operation,Variant,Phase,Width,Height,Threads,Schedule,Build,Repeat,Elapsed_ms,Hash,Reference_Hash,Exact,Differing_Bytes,Max_Abs_Error,Compiler,Flags,Hostname
4000x3000.png,Negative,linear_bytes,kernel,4000,3000,1,static,omp-avx2,5,4.507649,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=1 -march=haswell,hype5
4000x3000.png,Negative,linear_bytes,total,4000,3000,1,static,omp-avx2,5,4.507649,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=1 -march=haswell,hype5
4000x3000.png,Negative,original,total,4000,3000,1,static,off-avx2,5,34.978452,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize -march=haswell,hype5
4000x3000.png,Negative,linear_bytes,kernel,4000,3000,1,static,off-avx2,5,17.117377,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize -march=haswell,hype5
4000x3000.png,Negative,linear_bytes,total,4000,3000,1,static,off-avx2,5,17.117377,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize -march=haswell,hype5
4000x3000.png,Negative,original,total,4000,3000,1,static,omp-avx2,6,33.845513,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=1 -march=haswell,hype5
4000x3000.png,Negative,linear_bytes,kernel,4000,3000,1,static,omp-avx2,6,4.545351,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=1 -march=haswell,hype5
4000x3000.png,Negative,linear_bytes,total,4000,3000,1,static,omp-avx2,6,4.545351,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=1 -march=haswell,hype5
4000x3000.png,Negative,original,total,4000,3000,1,static,off-avx2,6,34.969089,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize -march=haswell,hype5
4000x3000.png,Negative,linear_bytes,kernel,4000,3000,1,static,off-avx2,6,16.839972,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize -march=haswell,hype5
4000x3000.png,Negative,linear_bytes,total,4000,3000,1,static,off-avx2,6,16.839972,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize -march=haswell,hype5
4000x3000.png,Negative,original,total,4000,3000,1,static,auto-avx2,6,36.319248,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -march=haswell,hype5
4000x3000.png,Negative,linear_bytes,kernel,4000,3000,1,static,auto-avx2,6,4.541944,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -march=haswell,hype5
4000x3000.png,Negative,linear_bytes,total,4000,3000,1,static,auto-avx2,6,4.541944,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -march=haswell,hype5
4000x3000.png,Negative,original,total,4000,3000,1,static,off-avx2,7,35.281979,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize -march=haswell,hype5
4000x3000.png,Negative,linear_bytes,kernel,4000,3000,1,static,off-avx2,7,16.575711,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize -march=haswell,hype5
4000x3000.png,Negative,linear_bytes,total,4000,3000,1,static,off-avx2,7,16.575711,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize -march=haswell,hype5
4000x3000.png,Negative,original,total,4000,3000,1,static,auto-avx2,7,34.930256,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -march=haswell,hype5
