Image,Operation,Layout,Threads,Scalar_build,SIMD_build,Scalar_median_ms,Scalar_min_ms,Scalar_max_ms,SIMD_median_ms,SIMD_min_ms,SIMD_max_ms,Speedup_scalar_over_simd
6000x6000.png,Gaussian_11x11,AoS_Naive,8,off-avx2,omp-avx2,1281.443685,1277.672428,1286.260963,1278.276653,1275.338483,1280.590032,1.002477579475904
6000x6000.png,Gaussian_11x11,AoS_Naive,12,off-avx2,omp-avx2,882.360078,882.206539,882.786559,882.290735,881.951657,883.317802,1.0000785942742558
6000x6000.png,Gaussian_11x11,AoS_Naive,16,off-avx2,omp-avx2,662.95519,662.492716,665.856713,663.218573,662.61668,663.587985,0.9996028714955786
6000x6000.png,Gaussian_11x11,AoS_Naive,20,off-avx2,omp-avx2,531.406282,529.888069,636.604267,531.26661,530.318307,755.235368,1.0002629037800814
6000x6000.png,Gaussian_11x11,SoA_Naive,1,off-avx2,omp-avx2,9223.721776,9221.359697,9232.068323,18192.961617,18192.256567,18323.89309,0.5069939666877054
6000x6000.png,Gaussian_11x11,SoA_Naive,2,off-avx2,omp-avx2,4615.679057,4614.388342,4624.194313,9103.68496,9100.393004,9117.589248,0.5070121689492207
6000x6000.png,Gaussian_11x11,SoA_Naive,4,off-avx2,omp-avx2,2328.575451,2320.784201,2341.467178,4643.693938,4608.569176,4876.310886,0.501448950359312
6000x6000.png,Gaussian_11x11,SoA_Naive,8,off-avx2,omp-avx2,1291.731237,1284.484418,1293.641501,2555.295285,2550.021646,2556.337444,0.5055115330829564
6000x6000.png,Gaussian_11x11,SoA_Naive,12,off-avx2,omp-avx2,888.439487,888.130128,888.804205,1764.2534,1759.817335,1774.684444,0.503578163431625
6000x6000.png,Gaussian_11x11,SoA_Naive,16,off-avx2,omp-avx2,666.040846,665.729155,667.975386,1328.368154,1326.069962,1335.055582,0.5013977819284577
6000x6000.png,Gaussian_11x11,SoA_Naive,20,off-avx2,omp-avx2,534.084359,533.047782,559.800823,1072.850929,1065.885956,1081.506119,0.4978178650577465
6000x6000.png,Gaussian_11x11,SoA_Separable,1,off-avx2,omp-avx2,690.634583,689.890523,691.329,280.833542,278.51415,280.944426,2.4592311092241252
6000x6000.png,Gaussian_11x11,SoA_Separable,2,off-avx2,omp-avx2,347.35966,345.700854,359.429734,149.666166,142.796183,156.285985,2.320896360771345
6000x6000.png,Gaussian_11x11,SoA_Separable,4,off-avx2,omp-avx2,177.932458,174.27802,182.902177,87.93455,79.963783,96.833676,2.023464701872017
6000x6000.png,Gaussian_11x11,SoA_Separable,8,off-avx2,omp-avx2,100.782706,98.786667,127.200314,49.184429,48.953793,49.723691,2.0490774834450147
6000x6000.png,Gaussian_11x11,SoA_Separable,12,off-avx2,omp-avx2,70.562723,68.580225,86.054764,37.420422,35.96724,37.951844,1.8856741647648976
6000x6000.png,Gaussian_11x11,SoA_Separable,16,off-avx2,omp-avx2,53.67106,53.609173,75.93958,35.00154,34.753457,35.851278,1.5333913879217886
6000x6000.png,Gaussian_11x11,SoA_Separable,20,off-avx2,omp-avx2,44.812047,43.866473,45.030799,33.192968,32.471084,33.718669,1.3500464013944158
6000x6000.png,Grayscale,AoS,1,off-avx2,omp-avx2,139.993223,139.938194,140.302148,138.806843,138.692214,138.899749,1.0085469849638466
6000x6000.png,Grayscale,AoS,2,off-avx2,omp-avx2,71.077474,70.313737,73.46038,71.204722,69.673328,72.708165,0.9982129275078132
6000x6000.png,Grayscale,AoS,4,off-avx2,omp-avx2,37.997858,37.98235,38.268735,37.79164,37.323383,37.876619,1.005456709473312
6000x6000.png,Grayscale,AoS,8,off-avx2,omp-avx2,21.301103,20.598109,21.414908,21.186075,21.037763,21.280515,1.0054294153117085
6000x6000.png,Grayscale,AoS,12,off-avx2,omp-avx2,15.057215,14.953664,15.076869,14.971575,14.866076,15.029517,1.0057201730612844
6000x6000.png,Grayscale,AoS,16,off-avx2,omp-avx2,11.66381,11.290369,11.740661,11.582995,11.4546,11.623323,1.0069770383221264
6000x6000.png,Grayscale,AoS,20,off-avx2,omp-avx2,9.684864,9.666474,9.729498,9.632952,9.596134,9.664351,1.0053890022497776
6000x6000.png,Grayscale,SoA,1,off-avx2,omp-avx2,109.881421,109.582668,110.036464,109.527291,109.145192,109.676317,1.003233258092725
6000x6000.png,Grayscale,SoA,2,off-avx2,omp-avx2,56.432626,55.005168,56.850338,55.467487,54.70887,55.72975,1.0174000852066725
6000x6000.png,Grayscale,SoA,4,off-avx2,omp-avx2,28.814628,28.264903,29.321847,28.607801,28.147317,28.99535,1.0072297412863016
6000x6000.png,Grayscale,SoA,8,off-avx2,omp-avx2,15.988915,15.828753,16.008756,15.789569,15.328147,16.009857,1.0126251704527212
6000x6000.png,Grayscale,SoA,12,off-avx2,omp-avx2,10.981054,10.730747,10.994229,10.960018,10.873965,11.098178,1.001919339913493
6000x6000.png,Grayscale,SoA,16,off-avx2,omp-avx2,8.249026,7.976614,8.419565,8.233511,8.192248,8.296565,1.0018843722926951
6000x6000.png,Grayscale,SoA,20,off-avx2,omp-avx2,6.621561,6.596368,6.633857,6.564734,6.439918,6.608215,1.0086564055756106
