Experiment,Build,Image,Width,Height,Threads,Schedule,Chunk,Touch_Mode,Repeat,Copy_ms,Horizontal_ms,Vertical_ms,Total_ms
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,4,static,,fresh,9,48.737347,16.309857,31.058931,96.106135
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,8,static,,fresh,0,27.134678,10.775377,17.009703,54.919758
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,8,static,,fresh,1,26.391266,9.408534,16.739509,52.539309
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,8,static,,fresh,2,26.417173,9.478366,16.710600,52.606139
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,8,static,,fresh,3,26.376028,9.406529,16.689620,52.472177
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,8,static,,fresh,4,26.407846,9.494316,16.756683,52.658845
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,8,static,,fresh,5,26.627464,9.440188,16.758299,52.825951
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,8,static,,fresh,6,26.349158,9.485972,16.736344,52.571474
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,8,static,,fresh,7,26.467136,9.717913,16.732377,52.917426
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,8,static,,fresh,8,26.484756,9.379465,16.756316,52.620537
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,8,static,,fresh,9,26.402332,9.435587,17.076958,52.914877
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,12,static,,fresh,0,22.608839,8.024442,12.474565,43.107846
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,12,static,,fresh,1,18.054004,7.941630,11.933936,37.929570
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,12,static,,fresh,2,17.250409,7.512364,11.590289,36.353062
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,12,static,,fresh,3,17.017958,7.437631,11.478179,35.933768
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,12,static,,fresh,4,16.876428,7.477642,11.527731,35.881801
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,12,static,,fresh,5,17.038950,7.517186,11.493927,36.050063
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,12,static,,fresh,6,16.812137,7.477964,11.491363,35.781464
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,12,static,,fresh,7,16.824093,7.437578,11.453847,35.715518
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,12,static,,fresh,8,17.028140,7.342199,11.474941,35.845280
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,12,static,,fresh,9,16.852158,7.514828,11.525715,35.892701
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,16,static,,fresh,0,17.062991,5.974226,9.324780,32.361997
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,16,static,,fresh,1,13.109286,5.524507,9.260562,27.894355
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,16,static,,fresh,2,12.488823,5.500496,9.184242,27.173561
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,16,static,,fresh,3,12.430089,5.506262,9.194685,27.131036
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,16,static,,fresh,4,12.537027,5.543735,9.168436,27.249198
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,16,static,,fresh,5,12.720380,5.521832,9.174701,27.416913
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,16,static,,fresh,6,12.571656,5.581876,9.107158,27.260690
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,16,static,,fresh,7,12.475977,5.519048,9.065194,27.060219
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,16,static,,fresh,8,12.571521,5.540868,9.051755,27.164144
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,16,static,,fresh,9,12.510082,5.513827,9.275710,27.299619
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,20,static,,fresh,0,14.445306,4.911430,7.741385,27.098121
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,20,static,,fresh,1,11.880099,4.844332,7.668247,24.392678
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,20,static,,fresh,2,11.347486,4.963336,7.441544,23.752366
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,20,static,,fresh,3,10.608082,4.558162,7.183249,22.349493
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,20,static,,fresh,4,10.455418,4.488653,7.207446,22.151517
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,20,static,,fresh,5,10.484532,4.426100,7.153751,22.064383
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,20,static,,fresh,6,10.466999,4.457241,7.197853,22.122093
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,20,static,,fresh,7,10.472717,4.471762,7.158020,22.102499
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,20,static,,fresh,8,10.668789,4.434891,7.130547,22.234227
zoom-scaling-static,off-avx2,6000x6000.png,6000,6000,20,static,,fresh,9,10.441300,4.507704,7.128167,22.077171
zoom-scaling-static,omp-avx2,6000x6000.png,6000,6000,1,static,,fresh,0,180.246937,58.508276,47.097882,285.853095
zoom-scaling-static,omp-avx2,6000x6000.png,6000,6000,1,static,,fresh,1,179.277832,58.222999,47.406375,284.907206
zoom-scaling-static,omp-avx2,6000x6000.png,6000,6000,1,static,,fresh,2,179.837160,58.183127,48.296497,286.316784
zoom-scaling-static,omp-avx2,6000x6000.png,6000,6000,1,static,,fresh,3,180.281740,58.493659,47.091860,285.867259
zoom-scaling-static,omp-avx2,6000x6000.png,6000,6000,1,static,,fresh,4,180.284163,58.195042,47.130986,285.610191
zoom-scaling-static,omp-avx2,6000x6000.png,6000,6000,1,static,,fresh,5,179.612541,58.186283,47.500068,285.298892
zoom-scaling-static,omp-avx2,6000x6000.png,6000,6000,1,static,,fresh,6,179.953415,58.513754,47.058614,285.525783
zoom-scaling-static,omp-avx2,6000x6000.png,6000,6000,1,static,,fresh,7,179.610805,58.160198,47.142371,284.913374
zoom-scaling-static,omp-avx2,6000x6000.png,6000,6000,1,static,,fresh,8,181.084452,62.855360,49.015424,292.955236
zoom-scaling-static,omp-avx2,6000x6000.png,6000,6000,1,static,,fresh,9,179.616031,58.497291,47.175506,285.288828
zoom-scaling-static,omp-avx2,6000x6000.png,6000,6000,2,static,,fresh,0,91.988617,29.456232,24.585094,146.029943
zoom-scaling-static,omp-avx2,6000x6000.png,6000,6000,2,static,,fresh,1,91.064272,29.673165,24.479836,145.217273
zoom-scaling-static,omp-avx2,6000x6000.png,6000,6000,2,static,,fresh,2,90.636454,29.635597,25.392947,145.664998
zoom-scaling-static,omp-avx2,6000x6000.png,6000,6000,2,static,,fresh,3,91.225759,29.875829,24.476322,145.577910
