Experiment,Build,Image,Threads,Round,Order,Schedule,Chunk,Thread,Rows,Work_ms
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,0,dynamic,16,7,352,4.932487
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,0,dynamic,16,8,304,4.736027
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,0,dynamic,16,9,320,4.947023
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,0,dynamic,16,10,272,4.821790
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,0,dynamic,16,11,272,4.789378
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,0,dynamic,16,12,272,4.797468
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,0,dynamic,16,13,272,4.787548
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,0,dynamic,16,14,272,4.824756
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,0,dynamic,16,15,272,4.796237
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,0,dynamic,16,16,272,4.796172
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,0,dynamic,16,17,272,4.806103
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,0,dynamic,16,18,272,4.817553
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,0,dynamic,16,19,272,4.832963
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,1,static,,0,300,3.862070
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,1,static,,1,300,4.644627
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,1,static,,2,300,4.661100
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,1,static,,3,300,4.607404
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,1,static,,4,300,4.653016
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,1,static,,5,300,4.618907
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,1,static,,6,300,4.651129
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,1,static,,7,300,4.631637
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,1,static,,8,300,4.663602
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,1,static,,9,300,4.657151
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,1,static,,10,300,5.136505
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,1,static,,11,300,5.148821
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,1,static,,12,300,5.154612
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,1,static,,13,300,5.168708
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,1,static,,14,300,5.164517
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,1,static,,15,300,5.201772
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,1,static,,16,300,5.182713
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,1,static,,17,300,5.247591
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,1,static,,18,300,5.178383
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,1,static,,19,300,5.212503
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,2,static,1,0,300,3.872057
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,2,static,1,1,300,4.438980
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,2,static,1,2,300,4.468098
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,2,static,1,3,300,4.449934
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,2,static,1,4,300,4.450418
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,2,static,1,5,300,4.464904
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,2,static,1,6,300,4.453933
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,2,static,1,7,300,4.474733
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,2,static,1,8,300,4.394472
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,2,static,1,9,300,4.472256
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,2,static,1,10,300,4.785614
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,2,static,1,11,300,4.762327
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,2,static,1,12,300,4.703354
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,2,static,1,13,300,4.726054
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,2,static,1,14,300,4.723558
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,2,static,1,15,300,4.719943
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,2,static,1,16,300,4.693700
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,2,static,1,17,300,4.751593
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,2,static,1,18,300,4.770942
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,2,static,1,19,300,4.777946
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,3,static,16,0,304,3.866928
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,3,static,16,1,304,4.146447
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,3,static,16,2,304,4.687143
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,3,static,16,3,304,4.694777
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,3,static,16,4,304,4.727781
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,3,static,16,5,304,4.715551
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,3,static,16,6,304,4.722370
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,3,static,16,7,304,4.707426
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,3,static,16,8,304,4.725439
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,3,static,16,9,304,4.713731
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,3,static,16,10,304,5.091120
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,3,static,16,11,304,5.082866
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,3,static,16,12,304,5.137298
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,3,static,16,13,304,5.144052
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,3,static,16,14,304,5.122485
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,3,static,16,15,288,4.839545
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,3,static,16,16,288,4.859746
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,3,static,16,17,288,4.849192
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,3,static,16,18,288,4.853094
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,3,static,16,19,288,4.824935
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,4,dynamic,1,0,354,4.779378
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,4,dynamic,1,1,315,4.725641
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,4,dynamic,1,2,305,4.730871
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,4,dynamic,1,3,315,4.726961
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,4,dynamic,1,4,314,4.722398
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,4,dynamic,1,5,313,4.732462
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,4,dynamic,1,6,318,4.724441
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,2,4,dynamic,1,7,315,4.719172
